SHOP_CODE,NAME,ADDRESS,LATITUDE,LONGITUDE
HCM000079,Cửa Hàng MobiFone Trực Tuyến Tại HCM,"54 Phạm Ngọc Thạch Phường Xuân Hòa, TP.HCM",10.785850,106.692600
HCM010007,Cửa Hàng Lạc Long Quân Quận 11 (MobiFone TTKD Sài Gòn),"311-313 Lạc Long Quân, P. Bình Thới, TPHCM",10.765750,106.642140
HCM010008,Cửa Hàng Lãnh Binh Thăng (MobiFone TTKD Sài Gòn),"191-193 Lãnh Binh Thăng, P.Phú Thọ , TPHCM",10.762500,106.652980
HCM010011,Cửa Hàng Lê Văn Sỹ (MobiFone TTKD Sài Gòn),"400B Lê Văn Sỹ, Phường Nhiêu Lộc, TP.HCM",10.788740,106.676520
HCM010014,Cửa Hàng Nguyễn Chí Thanh (MobiFone TTKD Sài Gòn),468A Nguyễn Chí Thanh P.Diên Hồng TP.HCM,10.759140,106.663860
HCM010015,Cửa Hàng Nguyễn Thị Minh Khai (MobiFone TTKD Sài Gòn),"320 Nguyễn Thị Minh Khai, Phường Bàn Cờ, TP.HCM",10.772830,106.688390
HCM020010,Cửa hàng Tân Kỳ Tân Quý (MobiFone TTKD Gia Định),"721 Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, TPHCM",10.792430,106.606850
HCM020012,Cửa Hàng Trường Chinh (MobiFone TTKD Gia Định),"314B Trường Chinh, Phường Tân Bình, TP.HCM",10.798500,106.643500
HCM020013,Cửa Hàng Cộng Hòa (MobiFone TTKD Gia Định),"365 Cộng Hòa, Phường Tân Bình, TP.HCM",10.802240,106.642110
HCM020014,Cửa Hàng Lũy Bán Bích (MobiFone TTKD Gia Định),"851 Lũy Bán Bích, P.Phú Thọ Hòa, TPHCM",10.788380,106.636860
HCM020015,Cửa hàng CH MobiFone Hoàng Văn Thụ (MobiFone TTKD Gia Định),"262 Hoàng Văn Thụ, Phường Tân Sơn Nhất, TP.HCM",10.799120,106.659450
HCM020016,Cửa Hàng Lê Trọng Tấn (MobiFone TTKD Gia Định),"349 Lê Trọng Tấn P.Tân Sơn Nhì, TPHCM",10.807870,106.619520
HCM020018,Cửa Hàng Tây Thạnh (MobiFone TTKD Gia Định),"387 Tây Thạnh, Phường Tây Thạnh, TPHCM",10.809100,106.619120
HCM030007,Cửa hàng MobiFone Phạm Hùng (MobiFone TTKD Bến Thành),"441 Phạm Hùng, Xã Bình Hưng, TP.HCM",10.731900,106.675020
HCM030009,Cửa Hàng Cần Giờ (MobiFone TTKD Bến Thành),"489/2 Đào Cử, Khu Phố Miễu Nhì, Xã Cần Giờ, TP.HCM",10.412110,106.967950
HCM030010,Cửa Hàng Huỳnh Tấn Phát-Nhà Bè (MobiFone TTKD Bến Thành),"1680 Huỳnh Tấn Phát, XÃ Nhà Bè, TPHCM",10.700810,106.738140
HCM030011,Cửa hàng MobiFone Lê Văn Lương (MobiFone TTKD Bến Thành),"392A Lê Văn Lương, Ấp 69 Xã Nhà Bè, TP.HCM",10.710160,106.702120
HCM030012,Cửa Hàng Khánh Hội (MobiFone TTKD Bến Thành),"214 Khánh Hội, Phường Khánh Hội TP.HCM",10.758870,106.699260
HCM040007,Cửa Hàng Quận 12 (MobiFone TTKD Gò Vấp),"167 Nguyễn Văn Quá, Phường Đông Hưng Thuận, Tp.HCM",10.831130,106.627270
HCM040008,Cửa Hàng Hóc Môn (TTKD Gò Vấp),"Số 26 Lê Thị Hà Khu Phố 8, Xã Hóc Môn, Tp.HCM",10.887110,106.598080
HCM040010,Cửa Hàng Quang Trung (MobiFone TTKD Gò Vấp),"170C Quang Trung, Phường Gò Vấp, Tp.HCM",10.828820,106.673770
HCM040012,Cửa Hàng Gò Vấp (MobiFone TTKD Gò Vấp),"32 đường số 3, KDC Cityland, Phường Gò Vấp, Tp.HCM",10.835140,106.670610
HCM040013,Cửa Hàng Phan Văn Trị (MobiFone TTKD Gò Vấp),"408 Phan Văn Trị, Phường Hạnh Thông, Tp.HCM",10.827480,106.688200
HCM040014,Cửa Hàng Củ Chi (MobiFone TTKD Gò Vấp),"238 Tỉnh lộ 8, Xã Tân An Hội, Tp.HCM",10.974500,106.497530
